stimTrans,stimType
Stimuli1a,HRHF_1
Stimuli1a,HRHF_2
Stimuli1a,HRLF_1
Stimuli1a,HRLF_2
Stimuli1a,LRHF_1
Stimuli1a,LRHF_2
Stimuli1a,LRLF_1
Stimuli1a,LRLF_2
Stimuli1bflat,HRHF_1
Stimuli1bflat,HRHF_2
Stimuli1bflat,HRLF_1
Stimuli1bflat,HRLF_2
Stimuli1bflat,LRHF_1
Stimuli1bflat,LRHF_2
Stimuli1bflat,LRLF_1
Stimuli1bflat,LRLF_2
Stimuli1b,HRHF_1
Stimuli1b,HRHF_2
Stimuli1b,HRLF_1
Stimuli1b,HRLF_2
Stimuli1b,LRHF_1
Stimuli1b,LRHF_2
Stimuli1b,LRLF_1
Stimuli1b,LRLF_2
Stimuli1c,HRHF_1
Stimuli1c,HRHF_2
Stimuli1c,HRLF_1
Stimuli1c,HRLF_2
Stimuli1c,LRHF_1
Stimuli1c,LRHF_2
Stimuli1c,LRLF_1
Stimuli1c,LRLF_2
Stimuli1csharp,HRHF_1
Stimuli1csharp,HRHF_2
Stimuli1csharp,HRLF_1
Stimuli1csharp,HRLF_2
Stimuli1csharp,LRHF_1
Stimuli1csharp,LRHF_2
Stimuli1csharp,LRLF_1
Stimuli1csharp,LRLF_2
Stimuli1d,HRHF_1
Stimuli1d,HRHF_2
Stimuli1d,HRLF_1
Stimuli1d,HRLF_2
Stimuli1d,LRHF_1
Stimuli1d,LRHF_2
Stimuli1d,LRLF_1
Stimuli1d,LRLF_2
Stimuli1eflat,HRHF_1
Stimuli1eflat,HRHF_2
Stimuli1eflat,HRLF_1
Stimuli1eflat,HRLF_2
Stimuli1eflat,LRHF_1
Stimuli1eflat,LRHF_2
Stimuli1eflat,LRLF_1
Stimuli1eflat,LRLF_2
